date,store,item,sales
2024-10-03,5,20,
2024-10-04,5,20,
2024-10-05,5,20,
2024-10-06,5,20,
2024-10-07,5,20,
2024-10-08,5,20,
2024-10-09,5,20,
2024-10-10,5,20,
2024-10-11,5,20,
2024-10-12,5,20,
2024-10-13,5,20,
2024-10-14,5,20,
2024-10-15,5,20,
2024-10-16,5,20,
2024-10-17,5,20,
2024-10-18,5,20,
2024-10-19,5,20,
2024-10-20,5,20,
2024-10-21,5,20,
2024-10-22,5,20,
2024-10-23,5,20,
2024-10-24,5,20,
2024-10-25,5,20,
2024-10-26,5,20,
2024-10-27,5,20,
2024-10-28,5,20,
2024-10-29,5,20,
2024-10-30,5,20,
2024-10-31,5,20,
2024-11-01,5,20,
2024-11-02,5,20,
2024-11-03,5,20,
2024-11-04,5,20,
2024-11-05,5,20,
2024-11-06,5,20,
2024-11-07,5,20,
2024-11-08,5,20,
2024-11-09,5,20,
2024-11-10,5,20,
2024-11-11,5,20,
2024-11-12,5,20,
2024-11-13,5,20,
2024-11-14,5,20,
2024-11-15,5,20,
2024-11-16,5,20,
2024-11-17,5,20,
2024-11-18,5,20,
2024-11-19,5,20,
2024-11-20,5,20,
2024-11-21,5,20,
2024-11-22,5,20,
2024-11-23,5,20,
2024-11-24,5,20,
2024-11-25,5,20,
2024-11-26,5,20,
2024-11-27,5,20,
2024-11-28,5,20,
2024-11-29,5,20,
2024-11-30,5,20,
2024-12-01,5,20,
2024-12-02,5,20,
2024-12-03,5,20,
2024-12-04,5,20,
2024-12-05,5,20,
2024-12-06,5,20,
2024-12-07,5,20,
2024-12-08,5,20,
2024-12-09,5,20,
2024-12-10,5,20,
2024-12-11,5,20,
2024-12-12,5,20,
2024-12-13,5,20,
2024-12-14,5,20,
2024-12-15,5,20,
2024-12-16,5,20,
2024-12-17,5,20,
2024-12-18,5,20,
2024-12-19,5,20,
2024-12-20,5,20,
2024-12-21,5,20,
2024-12-22,5,20,
2024-12-23,5,20,
2024-12-24,5,20,
2024-12-25,5,20,
2024-12-26,5,20,
2024-12-27,5,20,
2024-12-28,5,20,
